,net_manager,purchase_area,street,zipcode_from,zipcode_to,city,num_connections,delivery_perc,perc_of_active_connections,type_conn_perc,type_of_connection,annual_consume,annual_consume_lowtarif_perc,smartmeter_perc,Year
6410,Endinet,871688700000002681,Veelakker,5625WK,5625WK,EINDHOVEN,20.0,100.0,100.0,85,1x35,3426,15.0,5.0,
6411,Endinet,871688700000002681,Waterakker,5625WL,5625WL,EINDHOVEN,21.0,100.0,100.0,90,1x35,2817,14.29,4.76,
6412,Endinet,871688700000002681,Vlokhovenseweg,5625WP,5625WP,EINDHOVEN,19.0,94.74,100.0,74,1x35,3351,15.79,10.53,
6413,Endinet,871688700000002681,Vlokhovenseweg,5625WR,5625WR,EINDHOVEN,25.0,92.0,100.0,60,1x35,3330,24.0,16.0,
6414,Endinet,871688700000002681,Vlokhovenseweg,5625WT,5625WT,EINDHOVEN,21.0,100.0,100.0,57,3x25,6900,38.1,28.57,
6415,Endinet,871688700000002681,Vlokhovenseweg,5625WV,5625WV,EINDHOVEN,26.0,100.0,100.0,65,1x35,5116,30.77,19.23,
6416,Endinet,871688700000002681,Geestakker,5625XL,5625XN,EINDHOVEN,25.0,100.0,100.0,84,1x35,3519,8.0,8.0,
6417,Endinet,871688700000002681,Boschdijk,5626AA,5626AD,EINDHOVEN,21.0,100.0,95.24,48,3x25,5935,23.81,19.05,
6418,Endinet,871688700000002681,Boschdijk,5626AE,5626AE,EINDHOVEN,13.0,84.62,100.0,46,3x25,6234,53.85,23.08,
6419,Endinet,871688700000002681,Boschdijk,5626AG,5626AK,EINDHOVEN,26.0,100.0,100.0,62,3x25,5073,26.92,19.23,
6420,Endinet,871688700000002681,Rijnstraat,5626AM,5626AM,EINDHOVEN,17.0,100.0,100.0,71,3x25,4342,23.53,11.76,
6421,Endinet,871688700000002681,Rijnstraat,5626AN,5626AN,EINDHOVEN,43.0,95.35,100.0,60,1x35,3434,18.6,9.3,
6422,Endinet,871688700000002681,Rijnstraat,5626AP,5626AP,EINDHOVEN,17.0,88.24,100.0,71,3x25,6195,23.53,17.65,
6423,Endinet,871688700000002681,Waalstraat,5626AR,5626AR,EINDHOVEN,23.0,100.0,100.0,52,1x35,4479,30.43,17.39,
